Address,2019 EUI,"2019 EUI Quartile
(Top being the least energy intensive quartile)",2020 EUI,"2020 EUI Quartile
(Top being the least energy intensive quartile)",2021 EUI,"2021 EUI Quartile 
(Top being the least energy intensive quartile)",Building Type,Main Function,Building Size,TOP/CSC Year,Green Mark Award,Year of Green Mark Award,Green Mark Version,GFA,AC Area,AC Area Percentage,No. Of Hotel Rooms,Type of Air-conditioning System,Age  of Chiller,Air-con system efficiency (kW/RT),Date of Last Audit/Health Check,LED Percentage Usage,Installation of Solar PV,Remarks,postal_code,lat,lon,plan_area
"26A AYER RAJAH CRESCENT, SINGAPORE 139963",2909.7322285714285,Bottom,3747.8753142857145,Bottom,4480.942885714286,Bottom,Commercial Building,Office,Large,2015.0,Platinum,2022.0,Existing Data Centres,35000.0,35000.0,1.0,0.0,Water Cooled Chilled Water Plant,3.0,,,20.0,Y,Office Building with Non-Typical Activity (e.g. Industrial Function),139963,1.29593894662169,103.790686930421,QUEENSTOWN
"20 AYER RAJAH CRESCENT, SINGAPORE 139964",1903.4607449998696,Bottom,2043.5498938694616,Bottom,2213.995752431615,Bottom,Commercial Building,Office,Large,1999.0,,,,38349.0,30679.0,0.7999947847401496,0.0,Water Cooled Chilled Water Plant,16.0,,,90.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),139964,1.29509968153534,103.789762872062,QUEENSTOWN
"6 FUSIONOPOLIS WAY, SINGAPORE 138636",1126.0738929744955,Bottom,1157.4027538726334,Bottom,1182.1218119230168,Bottom,Commercial Building,Office,Large,2015.0,Platinum,2020.0,New Building for Non-Residential buildings (version 3),19173.0,19173.0,1.0,0.0,Others,0.0,0.62,2020-01-10,10.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),138636,1.2991104909562,103.788840649202,QUEENSTOWN
"396 ALEXANDRA ROAD, SINGAPORE 119954",749.1887577537826,Bottom,712.9463963372608,Bottom,712.223239358036,Bottom,Commercial Building,Office,Large,1995.0,GoldPlus,2022.0,Existing Building for Non-Residential buildings (version 3),30469.0,22476.0,0.7376677934950278,0.0,Water Cooled Chilled Water Plant,5.0,0.58,2015-02-16,85.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),119954,1.27792459742623,103.802264350614,QUEENSTOWN
"5 TAMPINES CENTRAL 6, SINGAPORE 529482",615.2367591027227,Bottom,622.2435214857056,Bottom,592.9474906007923,Bottom,Commercial Building,Office,Large,1995.0,,,,39631.0,22541.0,0.5687719209709571,0.0,Water Cooled Chilled Water Plant,26.0,,,17.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),529482,1.35343481251809,103.942097061129,TAMPINES
"50 SCIENCE PARK ROAD, SINGAPORE 117406",658.3863381020506,Bottom,545.1450643776824,Bottom,509.70121649976153,Bottom,Commercial Building,Office,Large,2009.0,Certified,2021.0,Existing Non-Residental Buildings ENRB: 2017,20970.0,17310.0,0.8254649499284692,0.0,Water Cooled Chilled Water Plant,3.0,182.0,,100.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),117406,1.28588931446437,103.783512088621,QUEENSTOWN
"11 OUTRAM ROAD, SINGAPORE 169078",454.46377574635505,Bottom,447.36173802360565,Bottom,458.8381526267068,Bottom,Commercial Building,Office,Large,1988.0,Platinum,2019.0,Existing Building for Non-Residential buildings (version 3),17284.0,15751.0,0.9113052534135617,0.0,Water Cooled Chilled Water Plant,2.0,0.59,2019-09-16,0.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),169078,1.28044812109897,103.83850336886,BUKIT MERAH
"2 HARBOURFRONT PLACE, SINGAPORE 098499",410.21151307103247,Bottom,347.65381568523895,Bottom,396.51403925710764,Bottom,Commercial Building,Office,Large,2008.0,GoldPlus,2021.0,Existing Building for Non-Residential buildings (version 3),22722.0,21106.0,0.9288795000440102,0.0,Water Cooled Chilled Water Plant,13.0,0.64,2020-09-30,30.0,Y,Office Building with Non-Typical Activity (e.g. Industrial Function),098499,1.26581280840254,103.818868952573,BUKIT MERAH
"31 EXETER ROAD, SINGAPORE 239732",358.5132190697586,Bottom,328.6809226196147,Bottom,315.5146433947524,Bottom,Commercial Building,Office,Large,1981.0,,,,104962.0,83076.0,0.7914864427126007,0.0,Water Cooled Chilled Water Plant,11.0,0.72,2014-11-30,50.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),239732,1.29897550209371,103.83840639869,ORCHARD
"41 SCIENCE PARK ROAD, SINGAPORE 117610",316.0363461951025,Bottom,277.1911259922155,Bottom,304.9864592846854,Bottom,Commercial Building,Office,Large,1998.0,Certified,2020.0,Existing Non-Residental Buildings ENRB: 2017,32629.0,26802.0,0.8214165313065065,0.0,Others,4.0,,,100.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),117610,1.28874338578167,103.782835762303,QUEENSTOWN
"28 IRRAWADDY ROAD, SINGAPORE 329560",332.0570182963135,Bottom,319.10667971864245,Bottom,304.78687267259386,Bottom,Commercial Building,Office,Large,2001.0,Platinum,2019.0,Existing Non-Residental Buildings ENRB: 2017,99091.0,77451.0,0.7816148792524044,0.0,Water Cooled Chilled Water Plant,16.0,1.11,2013-04-23,0.0,Y,Office Building with Non-Typical Activity (e.g. Industrial Function),329560,1.32424705197326,103.845062688126,NOVENA
"10 KALLANG ROAD, SINGAPORE 208718",340.1659483328486,Bottom,343.40363309447633,Bottom,300.4117507073164,Bottom,Commercial Building,Office,Large,1997.0,,,,37819.0,37819.0,1.0,0.0,Water Cooled Chilled Water Plant,5.0,,,92.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),208718,1.30663469653195,103.862772815008,KALLANG
"1 CLEANTECH LOOP, SINGAPORE 637141",302.22013923611115,Bottom,289.6222684027777,Bottom,298.3046902777778,Bottom,Commercial Building,Office,Large,2012.0,Platinum,2021.0,New Building for Non-Residential buildings (version 3),28800.0,20897.0,0.7255902777777777,0.0,Water Cooled Chilled Water Plant,10.0,0.65,,90.0,Y,Office Building with Non-Typical Activity (e.g. Industrial Function),637141,1.35539828173454,103.69237945253,WESTERN WATER CATCHMENT
"23 CHURCH STREET, SINGAPORE 049481",348.24342468781083,Bottom,298.4283898773345,Bottom,281.0343546248204,Bottom,Commercial Building,Office,Large,1998.0,GoldPlus,2021.0,Existing Building for Non-Residential buildings (version 3),36196.0,31200.0,0.8619736987512432,0.0,Water Cooled Chilled Water Plant,4.0,0.6,2016-08-29,30.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),049481,1.28362986367061,103.849100725691,OUTRAM
"1 TAMPINES CENTRAL 5, SINGAPORE 529508",356.1229663687222,Bottom,296.0287518487557,Bottom,280.99215098707475,Bottom,Commercial Building,Office,Large,1997.0,GoldPlus,2021.0,Existing Non-Residental Buildings ENRB: 2017,15551.0,13873.0,0.8920969712558678,0.0,Water Cooled Chilled Water Plant,1.0,0.62,2019-04-01,15.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),529508,1.35311433690453,103.943702415776,TAMPINES
"1 RAFFLES LINK, SINGAPORE 039393",376.34125551267914,Bottom,296.74744349503857,Bottom,278.6431091510474,Bottom,Commercial Building,Office,Large,1999.0,Platinum,2020.0,Existing Non-Residental Buildings ENRB: 2017,36280.0,30698.0,0.8461411245865491,0.0,Water Cooled Chilled Water Plant,21.0,0.65,2021-03-28,80.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),039393,1.2920291636627,103.855879205641,DOWNTOWN CORE
"1 SCIENCE PARK ROAD, SINGAPORE 117528",258.0460107684777,3rd,264.2544954898259,Bottom,275.80436927487585,Bottom,Commercial Building,Office,Large,2001.0,,,,28602.0,21659.0,0.7572547374309488,0.0,Water Cooled Chilled Water Plant,6.0,0.61,,0.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),117528,1.28945419226448,103.778326622956,QUEENSTOWN
"984 UPPER CHANGI ROAD NORTH, SINGAPORE 506969",283.9112683146277,Bottom,212.43334366303083,Bottom,275.70515048115334,Bottom,Commercial Building,Office,Large,2009.0,Legislated,2015.0,,383038.0,95204.0,0.24614445900910334,0.0,Others,12.0,,,10.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),506969,1.35817565889842,103.973191628726,CHANGI
"12 SCIENCE PARK DRIVE, SINGAPORE 118225",265.4397361463551,3rd,249.44434627801618,Bottom,267.97135606956385,Bottom,Commercial Building,Office,Large,2013.0,GoldPlus,2013.0,New Building for Non-Residential buildings (version 4),75269.0,51616.0,0.6857537631694323,0.0,Water Cooled Chilled Water Plant,7.0,0.65,,100.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),118225,1.28959031017024,103.786921106765,QUEENSTOWN
"20 JALAN AFIFI, SINGAPORE 409179",338.21839266450917,Bottom,329.9660913340525,Bottom,252.48380079108233,Bottom,Commercial Building,Office,Large,1986.0,,,,27810.0,19290.0,0.6936353829557713,0.0,Water Cooled Chilled Water Plant,11.0,0.8,2015-12-01,0.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),409179,1.32241753830632,103.892055568042,GEYLANG
"1 TAMPINES CENTRAL 1, SINGAPORE 529539",1463.763166760247,Bottom,1508.821044357103,Bottom,1515.5967209432904,Bottom,Commercial Building,Office,Medium,1997.0,,,,8905.0,8904.0,0.9998877035373386,0.0,Water Cooled Chilled Water Plant,23.0,1.18,2018-09-05,0.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),529539,1.35215248961094,103.942836203396,TAMPINES
"10 INTERNATIONAL BUSINESS PARK, SINGAPORE 609928",1185.90500169262,Bottom,1221.8770311442113,Bottom,1312.2011255924172,Bottom,Commercial Building,Office,Medium,1997.0,,,,11816.0,11816.0,1.0,0.0,Water Cooled Chilled Water Plant,24.0,,,94.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),609928,1.32523049308303,103.748956924072,JURONG EAST
"8 INTERNATIONAL BUSINESS PARK, SINGAPORE 609925",1069.1798986486488,Bottom,1056.8227557915059,Bottom,1052.297689430502,Bottom,Commercial Building,Office,Medium,1995.0,,,,8288.0,5942.0,0.7169401544401545,0.0,Air Cooled Chilled Water Plant,4.0,,,90.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),609925,1.32585001264393,103.748588223098,JURONG EAST
"11 INTERNATIONAL BUSINESS PARK, SINGAPORE 609926",870.3442262267138,Bottom,926.2101850724462,Bottom,970.3355351272373,Bottom,Commercial Building,Office,Medium,1997.0,,,,8213.0,3413.0,0.41556069645683674,0.0,Water Cooled Chilled Water Plant,1.0,,,100.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),609926,1.32423250494366,103.750595101899,JURONG EAST
"51 SCIENCE PARK ROAD, SINGAPORE 117586",750.6757808778495,Bottom,752.7826151752298,Bottom,762.254918679823,Bottom,Commercial Building,Office,Medium,1999.0,Certified,2020.0,Existing Non-Residental Buildings ENRB: 2017,14695.0,13966.0,0.9503912895542702,0.0,Others,5.0,,,100.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),117586,1.2874103128712,103.783100732754,QUEENSTOWN
"9 INTERNATIONAL BUSINESS PARK, SINGAPORE 609915",768.096875,Bottom,805.5617244525547,Bottom,747.0084397810219,Bottom,Commercial Building,Office,Medium,2003.0,Gold,2019.0,New Building for Non-Residential buildings (version 4),10960.0,10960.0,1.0,0.0,Water Cooled Chilled Water Plant,7.0,0.72,2019-05-22,90.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),609915,1.32480020432379,103.750270949804,JURONG EAST
"3 BISHAN PLACE, SINGAPORE 579838",717.0169429280396,Bottom,654.7207344913152,Bottom,567.9719640198512,Bottom,Commercial Building,Office,Medium,1997.0,GoldPlus,2021.0,Existing Non-Residental Buildings ENRB: 2017,8060.0,6340.0,0.7866004962779156,0.0,Water Cooled Chilled Water Plant,1.0,0.61,2020-02-27,10.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),579838,1.34966023765352,103.84918960945,BISHAN
"18 CHURCH STREET, SINGAPORE 049479",399.78702905766266,Bottom,361.5934733411786,Bottom,344.620553091337,Bottom,Commercial Building,Office,Medium,1986.0,Gold,2016.0,Existing Building for Non-Residential buildings (version 2.1),11047.0,8824.0,0.7987688965329954,0.0,Water Cooled Chilled Water Plant,10.0,0.7,2016-06-07,30.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),049479,1.2848057262583,103.848835107849,DOWNTOWN CORE
"10 SIN MING DRIVE, SINGAPORE 575701",309.21410067478473,Bottom,282.8043961839758,Bottom,270.46770185371906,Bottom,Commercial Building,Office,Medium,1983.0,Platinum,2011.0,New Building for Non-Residential buildings (version 3),12893.0,12000.0,0.9307376095555728,0.0,Others,0.0,1.45,2011-09-09,2.0,Y,Office Building with Non-Typical Activity (e.g. Industrial Function),575701,1.35700321140485,103.837010656506,BISHAN
"31 SCIENCE PARK ROAD, SINGAPORE 117611",281.14285714285717,Bottom,256.6191595075724,Bottom,257.4948675936586,Bottom,Commercial Building,Office,Medium,1997.0,,,,11291.0,10627.0,0.9411920999025772,0.0,Water Cooled Chilled Water Plant,1.0,0.7,2017-06-03,30.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),117611,1.28821351494215,103.782139290231,QUEENSTOWN
