Building Address,"Building Type
"1 CLEANTECH LOOP, SINGAPORE 637141",Office,Yes,Platinum,2011.0,Large,28800.0,292.0,298,Y,637141,1.35539828173454,103.69237945253,WESTERN WATER CATCHMENT
"4 FUSIONOPOLIS WAY, SINGAPORE 138635",Office,Yes,Platinum,2011.0,Large,33123.0,84.0,290,Y,138635,1.29814278430466,103.789148552727,QUEENSTOWN
"3 CLEANTECH LOOP, SINGAPORE 637143",Office,Yes,Platinum,2013.0,Large,22485.0,94.0,133,Y,637143,1.35523053316172,103.693447436835,WESTERN WATER CATCHMENT
"50 SCIENCE PARK ROAD, SINGAPORE 117406",Office,No,,,Large,20190.0,599.0,649,Y,117406,1.28588931446437,103.783512088621,QUEENSTOWN
"61 SCIENCE PARK ROAD, SINGAPORE 117525",Office,No,,,Large,30545.0,307.0,243,Y,117525,1.28655109635518,103.784086015551,QUEENSTOWN
"1 SCIENCE PARK ROAD, SINGAPORE 117528",Office,No,,,Large,28602.0,225.0,198,Y,117528,1.28945419226448,103.778326622956,QUEENSTOWN
"10 SCIENCE PARK ROAD, SINGAPORE 117684",Office,No,,,Large,28533.0,249.0,223,Y,117684,1.2887532295364,103.780034488623,QUEENSTOWN
"41 SCIENCE PARK ROAD, SINGAPORE 117610",Office,No,,,Large,32629.0,510.0,466,Y,117610,1.28874338578167,103.782835762303,QUEENSTOWN
"1 CHANGI BUSINESS PARK CENTRAL 1, SINGAPORE 486036",Office,Yes,GoldPlus,2011.0,Large,71158.0,262.0,254,Y,486036,1.33352582052952,103.962576462766,TAMPINES
"151 CHIN SWEE ROAD, SINGAPORE 169876",Office,No,,,Large,16450.0,180.0,171,Y,169876,1.28703443823013,103.840813247609,OUTRAM
"1 HAMPSHIRE ROAD, SINGAPORE 219428",Office,No,,,Large,37923.0,257.0,251,Y,219428,1.3074454154769,103.848862289616,KALLANG
"20 SCIENCE PARK ROAD, SINGAPORE 117674",Office,No,,,Large,23977.0,356.0,315,Y,117674,1.28646421483468,103.781863947157,QUEENSTOWN
"3 TEMASEK AVENUE, SINGAPORE 039190",Office,Yes,GoldPlus,2011.0,Large,64846.0,219.0,200,Y,039190,1.29359259248898,103.860272508443,DOWNTOWN CORE
"2 BUKIT MERAH CENTRAL, SINGAPORE 159835",Office,No,,,Large,23278.0,258.0,270,Y,159835,1.28407802916981,103.813672735513,BUKIT MERAH
"1A INTERNATIONAL BUSINESS PARK, SINGAPORE 609933",Office,Yes,Gold,2013.0,Large,19967.0,154.0,133,Y,609933,1.3280644614245,103.748381440005,JURONG EAST
"43 CARPENTER STREET, SINGAPORE 059922",Office,No,,,Small,913.0,276.0,248,Y,059922,1.28775093572357,103.848018535263,SINGAPORE RIVER
"731 NORTH BRIDGE ROAD, SINGAPORE 198699",Office,No,,,Small,385.0,184.0,201,Y,198699,1.30290833120091,103.858792868088,ROCHOR
"50 CUSCADEN ROAD, SINGAPORE 249724",Office,No,,,Small,7372.0,330.0,312,Y,249724,1.30572373922754,103.82810604464,ORCHARD
"2 LENGKOK BAHRU, SINGAPORE 159047",Office,No,,,Small,5199.0,219.0,219,Y,159047,1.2867006427442,103.810819756429,BUKIT MERAH
"50 SOUTH BRIDGE ROAD, SINGAPORE 058682",Office,No,,,Small,974.0,137.0,129,Y,058682,1.28769482359984,103.848230329512,SINGAPORE RIVER
"87 BEACH ROAD, SINGAPORE 189695",Office,No,,,Small,2206.0,208.0,205,Y,189695,1.297402484453,103.856646124201,DOWNTOWN CORE
"137 MARKET STREET, SINGAPORE 048943",Office,Yes,GoldPlus,2009.0,Small,5030.0,165.0,169,Y,048943,1.28222967286645,103.850519734066,DOWNTOWN CORE
"163 TRAS STREET, SINGAPORE 079024",Office,No,,,Small,3225.0,107.0,116,Y,079024,1.27471816977998,103.843991144474,DOWNTOWN CORE
"100 CECIL STREET, SINGAPORE 069532",Office,No,,,Small,5824.0,201.0,182,Y,069532,1.2811356333691,103.848958262081,DOWNTOWN CORE
"84 SOUTH BRIDGE ROAD, SINGAPORE 058714",Office,No,,,Small,1086.0,91.0,90,Y,058714,1.28679788961392,103.847735348073,SINGAPORE RIVER
"22 BUKIT PASOH ROAD, SINGAPORE 089836",Office,No,,,Small,4331.0,65.0,71,Y,089836,1.27918441604346,103.84084739584,OUTRAM
"80 SOUTH BRIDGE ROAD, SINGAPORE 058710",Office,No,,,Small,291.0,741.0,905,Y,058710,1.28687554213386,103.847794080986,SINGAPORE RIVER
"74 SOUTH BRIDGE ROAD, SINGAPORE 058704",Office,No,,,Small,337.0,155.0,206,Y,058704,1.28700867262692,103.847860164478,SINGAPORE RIVER
"77 HIGH STREET, SINGAPORE 179433",Office,No,,,Small,10418.0,153.0,148,Y,179433,1.2904540746831,103.849358869172,DOWNTOWN CORE
"3 MILLER STREET, SINGAPORE 188899",Office,No,,,Small,465.0,66.0,79,Y,188899,1.29680637553002,103.853002674525,DOWNTOWN CORE
"28 NORTH CANAL ROAD, SINGAPORE 059284",Office,No,,,Small,1865.0,227.0,228,Y,059284,1.28688527735672,103.847519656729,SINGAPORE RIVER
"99 BUKIT TIMAH ROAD, SINGAPORE 229835",Office,No,,,Small,7526.0,251.0,256,Y,229835,1.30732985493734,103.847051406648,ROCHOR
"141 MIDDLE ROAD, SINGAPORE 188976",Office,No,,,Small,4192.0,236.0,208,Y,188976,1.29943775475739,103.85240273741,ROCHOR
"32 MAXWELL ROAD, SINGAPORE 069115",Office,No,,,Small,7040.0,203.0,236,Y,069115,1.27748817305035,103.846222184202,DOWNTOWN CORE
"35 KELANTAN LANE, SINGAPORE 208652",Office,No,,,Small,475.0,182.0,191,Y,208652,1.30678018991167,103.856783814938,ROCHOR
"28 MAXWELL ROAD, SINGAPORE 069120",Office,No,,,Small,10982.0,183.0,175,Y,069120,1.27823747504174,103.845617570616,DOWNTOWN CORE
"25 NORTH BRIDGE ROAD, SINGAPORE 179104",Office,No,,,Small,5841.0,255.0,279,Y,179104,1.29017120639075,103.849700617519,DOWNTOWN CORE
"41 MIDDLE ROAD, SINGAPORE 188950",Office,No,,,Small,1350.0,72.0,82,Y,188950,1.29702150960937,103.855386164465,DOWNTOWN CORE
"43 BEACH ROAD, SINGAPORE 189681",Office,No,,,Small,1400.0,125.0,110,Y,189681,1.2962665837244,103.855838016599,DOWNTOWN CORE
"64 CECIL STREET, SINGAPORE 049711",Office,No,,,Small,5111.0,256.0,259,Y,049711,1.28198591216901,103.849400432854,DOWNTOWN CORE
"1 KEONG SAIK ROAD, SINGAPORE 089109",Office,No,,,Small,3181.0,180.0,254,Y,089109,1.27891832141462,103.841421971652,OUTRAM
"11 INTERNATIONAL BUSINESS PARK, SINGAPORE 609926",Office,No,,,Small,8157.0,926.0,1021,Y,609926,1.32423250494366,103.750595101899,JURONG EAST
"18 JALAN MASJID, SINGAPORE 418944",Office,No,,,Small,3661.0,256.0,263,Y,418944,1.32037255609864,103.912642849629,BEDOK
"70 SOUTH BRIDGE ROAD, SINGAPORE 058700",Office,No,,,Small,602.0,103.0,68,Y,058700,1.28709625845764,103.847903177041,SINGAPORE RIVER
"72 SOUTH BRIDGE ROAD, SINGAPORE 058702",Office,No,,,Small,578.0,177.0,167,Y,058702,1.28703572211884,103.847904883854,SINGAPORE RIVER
"163 GEYLANG ROAD, SINGAPORE 389240",Office,No,,,Small,1174.0,331.0,343,Y,389240,1.31159827079308,103.874555798417,KALLANG
"15 QUEEN STREET, SINGAPORE 188537",Office,No,,,Small,10471.0,231.0,226,Y,188537,1.29800516098231,103.852642237321,ROCHOR
"701 GEYLANG ROAD, SINGAPORE 389687",Office,No,,,Small,1943.0,259.0,246,Y,389687,1.31478597560553,103.889462295301,GEYLANG
"540 SIMS AVENUE, SINGAPORE 387603",Office,No,,,Small,1943.0,210.0,202,Y,387603,1.31616810157098,103.889561883558,GEYLANG
"8 STEVENS ROAD, SINGAPORE 257819",Office,No,,,Small,799.0,115.0,144,Y,257819,1.31246598918076,103.832750848487,NEWTON
"3 LIM TECK KIM ROAD, SINGAPORE 088934",Office,No,,,Small,11908.0,259.0,261,Y,088934,1.27328869781097,103.842343825179,DOWNTOWN CORE
"333 NORTH BRIDGE ROAD, SINGAPORE 188721",Office,No,,,Small,2699.0,453.0,498,Y,188721,1.29613874144379,103.853609529481,DOWNTOWN CORE
"420 NORTH BRIDGE ROAD, SINGAPORE 188727",Office,Yes,Gold,2014.0,Small,9164.0,141.0,142,Y,188727,1.29719949216524,103.854944130225,DOWNTOWN CORE
"711 GEYLANG ROAD, SINGAPORE 389626",Office,No,,,Small,1939.0,127.0,128,Y,389626,1.31487379175539,103.889947604393,GEYLANG
"37 MIDDLE ROAD, SINGAPORE 188946",Office,No,,,Small,1238.0,172.0,150,Y,188946,1.29698190729686,103.855478939997,DOWNTOWN CORE
"33 MAUDE ROAD, SINGAPORE 208344",Office,No,,,Small,1459.0,116.0,118,Y,208344,1.30743688049676,103.858683928644,KALLANG
"10 PRINSEP LINK, SINGAPORE 187948",Office,No,,,Small,10555.0,718.0,682,Y,187948,1.30046735366415,103.850556061949,ROCHOR
"11 TAMPINES CONCOURSE, SINGAPORE 528729",Office,Yes,GoldPlus,2015.0,Small,11520.0,204.0,216,Y,528729,1.35590077042404,103.941176103843,TAMPINES
"120 CANTONMENT ROAD, SINGAPORE 089760",Office,No,,,Small,7428.0,128.0,124,Y,089760,1.27665188699021,103.840365711835,BUKIT MERAH
"81 KIM KEAT ROAD, SINGAPORE 328836",Office,No,,,Small,11060.0,149.0,155,Y,328836,1.32648059531275,103.854441721262,NOVENA
"11 TAMPINES CENTRAL 1, SINGAPORE 529542",Office,Yes,Gold,2014.0,Small,10777.0,1060.0,1068,Y,529542,1.35451927028264,103.9422023716,TAMPINES
"31 TAMPINES AVENUE 4, SINGAPORE 529680",Office,Yes,Gold,2014.0,Small,8946.0,268.0,275,Y,529680,1.35221579377494,103.94240127802,TAMPINES
"24 CHEONG CHIN NAM ROAD, SINGAPORE 599747",Office,No,,,Small,1554.0,458.0,394,Y,599747,1.34378940038285,103.774793878021,BUKIT TIMAH
"8 ROBINSON ROAD, SINGAPORE 048544",Office,No,,,Small,4550.0,176.0,176,Y,048544,1.28225737219454,103.850839372188,DOWNTOWN CORE
"75 BRAS BASAH ROAD, SINGAPORE 189557",Office,No,,,Small,8975.0,352.0,340,Y,189557,1.29655514144455,103.851704260643,MUSEUM
"30 PRINSEP STREET, SINGAPORE 188647",Office,Yes,Gold,2014.0,Small,5498.0,294.0,288,Y,188647,1.29901452820834,103.849610057454,ROCHOR
"3 BISHAN PLACE, SINGAPORE 579838",Office,No,,,Small,8060.0,758.0,783,Y,579838,1.34966023765352,103.84918960945,BISHAN
"21 JURONG GATEWAY ROAD, SINGAPORE 608546",Office,No,,,Small,4745.0,246.0,235,Y,608546,1.33503600662426,103.739670168956,JURONG EAST
"20 MCCALLUM STREET, SINGAPORE 069046",Office,Yes,GoldPlus,2008.0,Small,14671.0,181.0,184,Y,069046,1.27958236092444,103.847918363171,DOWNTOWN CORE
"168 CHANGI ROAD, SINGAPORE 419730",Office,No,,,Small,1671.0,159.0,163,Y,419730,1.31691527025645,103.902803354986,GEYLANG
"260 TANJONG PAGAR ROAD, SINGAPORE 088542",Office,No,,,Small,3700.0,163.0,166,Y,088542,1.27372070013498,103.842914793356,DOWNTOWN CORE
"75 BUKIT TIMAH ROAD, SINGAPORE 229833",Office,No,,,Small,11950.0,137.0,144,Y,229833,1.30702711247545,103.84750933358,ROCHOR
"11 KENG CHEOW STREET, SINGAPORE 059608",Office,No,,,Small,3263.0,198.0,185,Y,059608,1.28852635485141,103.843960031317,SINGAPORE RIVER
"15 PHILLIP STREET, SINGAPORE 048694",Office,No,,,Small,1504.0,293.0,298,Y,048694,1.28450142576706,103.849916001844,DOWNTOWN CORE
"14 ROBINSON ROAD, SINGAPORE 048545",Office,No,,,Small,6268.0,147.0,135,Y,048545,1.2821417096259,103.85075483266,DOWNTOWN CORE
"452 NORTH BRIDGE ROAD, SINGAPORE 188733",Office,No,,,Small,868.0,346.0,316,Y,188733,1.29774507797931,103.855339112642,DOWNTOWN CORE
"4 ROBINSON ROAD, SINGAPORE 048543",Office,No,,,Small,4482.0,158.0,205,Y,048543,1.2823702364408,103.850955763693,DOWNTOWN CORE
"218 CHANGI ROAD, SINGAPORE 419737",Office,No,,,Small,2807.0,85.0,88,Y,419737,1.31724313147952,103.904261116818,GEYLANG
"36 PRINSEP STREET, SINGAPORE 188648",Office,No,,,Small,2647.0,161.0,138,Y,188648,1.29922184850346,103.849631376713,ROCHOR
"60 ROBINSON ROAD, SINGAPORE 068892",Office,No,,,Small,7783.0,322.0,322,Y,068892,1.28071899783496,103.849685834,DOWNTOWN CORE
"381 JOO CHIAT ROAD, SINGAPORE 427621",Office,No,,,Small,1965.0,194.0,210,Y,427621,1.30804061797639,103.903688936075,MARINE PARADE
"20 NASSIM ROAD, SINGAPORE 258395",Office,No,,,Small,650.0,174.0,186,Y,258395,1.30903804428064,103.822915406228,TANGLIN
"402 NORTH BRIDGE ROAD, SINGAPORE 188722",Office,No,,,Small,1587.0,193.0,193,Y,188722,1.29646330152801,103.854398431997,DOWNTOWN CORE
"9 KING GEORGES AVENUE, SINGAPORE 208581",Office,Yes,GoldPlus,2009.0,Small,14647.0,150.0,146,Y,208581,1.30856889161962,103.85921493175,KALLANG
"2 ALLENBY ROAD, SINGAPORE 209973",Office,No,,,Small,1136.0,255.0,267,Y,209973,1.31073366638406,103.859351287829,KALLANG
"408 NORTH BRIDGE ROAD, SINGAPORE 188725",Office,No,,,Small,1827.0,293.0,260,Y,188725,1.29657496147578,103.854477352942,DOWNTOWN CORE
"161 LAVENDER STREET, SINGAPORE 338750",Office,No,,,Small,3853.0,143.0,146,Y,338750,1.31298493182023,103.860743580771,KALLANG
"8 INTERNATIONAL BUSINESS PARK, SINGAPORE 609925",Office,No,,,Small,8288.0,903.0,1006,Y,609925,1.32585001264393,103.748588223098,JURONG EAST
"24 PECK SEAH STREET, SINGAPORE 079314",Office,No,,,Small,6689.0,196.0,195,Y,079314,1.27827675001581,103.844847488529,OUTRAM
"110 MIDDLE ROAD, SINGAPORE 188968",Office,No,,,Small,2997.0,223.0,209,Y,188968,1.29897975517742,103.853856480041,ROCHOR
"298 JALAN BUKIT HO SWEE, SINGAPORE 169565",Office,No,,,Small,7860.0,74.0,78,Y,169565,1.28791981662355,103.830283766722,BUKIT MERAH
"8 LOWER DELTA ROAD, SINGAPORE 169198",Office,No,,,Small,9507.0,328.0,441,Y,169198,1.28897410982684,103.82523124027,BUKIT MERAH
"22 MALACCA STREET, SINGAPORE 048980",Office,No,,,Small,7811.0,227.0,231,Y,048980,1.28396113198369,103.850829993471,DOWNTOWN CORE
"112 ROBINSON ROAD, SINGAPORE 068902",Office,No,,,Small,10720.0,231.0,211,Y,068902,1.27928232862918,103.848816437936,DOWNTOWN CORE
"51 ANSON ROAD, SINGAPORE 079904",Office,No,,,Small,8675.0,181.0,170,Y,079904,1.27452180635277,103.845738587239,DOWNTOWN CORE
"60 CECIL STREET, SINGAPORE 049709",Office,No,,,Small,2644.0,295.0,297,Y,049709,1.28226112310587,103.849524714053,DOWNTOWN CORE
"133 MIDDLE ROAD, SINGAPORE 188974",Office,No,,,Small,4736.0,272.0,268,Y,188974,1.29907929817841,103.852825314007,ROCHOR
"265 NEW BRIDGE ROAD, SINGAPORE 088745",Office,No,,,Small,890.0,241.0,250,Y,088745,1.28257725263666,103.842364102964,OUTRAM
"46 SOUTH BRIDGE ROAD, SINGAPORE 058679",Office,No,,,Small,1058.0,122.0,125,Y,058679,1.28791292541342,103.84835042301,SINGAPORE RIVER
"7 ALIWAL STREET, SINGAPORE 199900",Office,No,,,Small,409.0,120.0,113,Y,199900,1.30178962474418,103.861169588024,ROCHOR
"1 ALIWAL STREET, SINGAPORE 199894",Office,No,,,Small,414.0,154.0,97,Y,199894,1.30164759585642,103.861250642435,ROCHOR
"3 ALIWAL STREET, SINGAPORE 199896",Office,No,,,Small,440.0,192.0,149,Y,199896,1.3016947381608,103.861224724604,ROCHOR
"5 ALIWAL STREET, SINGAPORE 199898",Office,No,,,Small,430.0,125.0,100,Y,199898,1.30174175101046,103.861196896169,ROCHOR
"390 HAVELOCK ROAD, SINGAPORE 169662",Office,Yes,Platinum,2014.0,Small,10852.0,232.0,230,Y,169662,1.28963064680041,103.8356818105,SINGAPORE RIVER
"200 NEWTON ROAD, SINGAPORE 307983",Office,No,,,Small,4027.0,243.0,214,Y,307983,1.3187129150612,103.84313182731,NOVENA
"268 WOODLANDS CENTRE ROAD, SINGAPORE 738931",Office,No,,,Small,5596.0,251.0,264,Y,738931,1.44108845123342,103.769098543993,WOODLANDS
"70 TANNERY LANE, SINGAPORE 347810",Office,No,,,Small,2720.0,103.0,104,Y,347810,1.32616067996987,103.878684717184,GEYLANG
"320 SERANGOON ROAD, SINGAPORE 218108",Office,No,,,Small,9733.0,374.0,343,Y,218108,1.31089355522204,103.855128248182,KALLANG
"45 MIDDLE ROAD, SINGAPORE 188954",Office,No,,,Small,2368.0,69.0,139,Y,188954,1.29714835246401,103.85533277219,DOWNTOWN CORE
"1 PHILLIP STREET, SINGAPORE 048692",Office,No,,,Small,5000.0,144.0,136,Y,048692,1.28497457584876,103.850025190454,DOWNTOWN CORE
"3 PHILLIP STREET, SINGAPORE 048693",Office,No,,,Small,10580.0,216.0,210,Y,048693,1.28466221614276,103.849976556144,DOWNTOWN CORE
"158 CECIL STREET, SINGAPORE 069545",Office,Yes,Gold,2015.0,Small,11977.0,226.0,253,Y,069545,1.27978878392412,103.848043260257,DOWNTOWN CORE
"50 ARMENIAN STREET, SINGAPORE 179938",Office,No,,,Small,1757.0,190.0,150,Y,179938,1.29436707678809,103.849678556536,MUSEUM
"138 CECIL STREET, SINGAPORE 069538",Office,No,,,Small,10917.0,169.0,171,Y,069538,1.28080521282566,103.848667650702,DOWNTOWN CORE
"116 CHANGI ROAD, SINGAPORE 419718",Office,No,,,Small,4682.0,107.0,134,Y,419718,1.31647122783973,103.901232839024,GEYLANG
"5 INTERNATIONAL BUSINESS PARK, SINGAPORE 609914",Office,No,,,Small,7433.0,138.0,139,Y,609914,1.32619166180502,103.749512066882,JURONG EAST
"75 HIGH STREET, SINGAPORE 179435",Office,No,,,Small,2372.0,148.0,148,Y,179435,1.29029189404382,103.849551236365,DOWNTOWN CORE
"91 TANGLIN ROAD, SINGAPORE 247918",Office,No,,,Small,4225.0,307.0,245,Y,247918,1.30527219318576,103.825078876759,ORCHARD
"210 MIDDLE ROAD, SINGAPORE 188994",Office,Yes,GoldPlus,2013.0,Small,12595.0,256.0,276,Y,188994,1.30116888567599,103.851282489716,ROCHOR
"15 SCOTTS ROAD, SINGAPORE 228218",Office,No,,,Small,11481.0,140.0,141,Y,228218,1.30788492696723,103.83273062786,ORCHARD
"35 NEW BRIDGE ROAD, SINGAPORE 059395",Office,No,,,Small,1016.0,350.0,365,Y,059395,1.28833377741415,103.847231504686,SINGAPORE RIVER
"67 QUEEN STREET, SINGAPORE 188546",Office,No,,,Small,12472.0,324.0,330,Y,188546,1.30089736824545,103.854869709434,ROCHOR
"30 HILL STREET, SINGAPORE 179360",Office,No,,,Small,11427.0,341.0,266,Y,179360,1.29360606337051,103.849526126465,MUSEUM
"29 BUKIT PASOH ROAD, SINGAPORE 089843",Office,No,,,Small,1175.0,119.0,96,Y,089843,1.27917907417969,103.840453119833,OUTRAM
"47 BEACH ROAD, SINGAPORE 189683",Office,No,,,Small,2602.0,85.0,72,Y,189683,1.29640863991837,103.855929479543,DOWNTOWN CORE
"20 MALACCA STREET, SINGAPORE 048979",Office,No,,,Small,4359.0,200.0,198,Y,048979,1.28393979832145,103.850711236652,DOWNTOWN CORE
"205 UPPER BUKIT TIMAH ROAD, SINGAPORE 588181",Office,No,,,Small,4677.0,153.0,160,Y,588181,1.34449155367099,103.774321065022,BUKIT TIMAH
"430 LORONG 6 TOA PAYOH, SINGAPORE 319402",Office,No,,,Small,3547.0,315.0,332,Y,319402,1.33139742181904,103.849451187801,TOA PAYOH
"691 GEYLANG ROAD, SINGAPORE 389684",Office,No,,,Small,926.0,167.0,151,Y,389684,1.31473076412601,103.889249210906,GEYLANG
"171 CHIN SWEE ROAD, SINGAPORE 169877",Office,No,,,Small,12253.0,78.0,105,Y,169877,1.28674603317591,103.840214782123,OUTRAM
"96 ROBINSON ROAD, SINGAPORE 068899",Office,No,,,Small,7684.0,222.0,223,Y,068899,1.27969356642873,103.84905378202,DOWNTOWN CORE
"21 EVANS ROAD, SINGAPORE 259366",Office,No,,,Small,9436.0,37.0,39,Y,259366,1.31846187997069,103.819071149611,TANGLIN
"141 CECIL STREET, SINGAPORE 069541",Office,No,,,Small,5934.0,195.0,184,Y,069541,1.27925609401816,103.848411649087,DOWNTOWN CORE
"33 ALLANBROOKE ROAD, SINGAPORE 099981",Office,No,,,Small,2121.0,69.0,91,Y,099981,1.24840896621992,103.828045802459,SOUTHERN ISLANDS
"1 COVE AVENUE, SINGAPORE 098537",Office,Yes,Gold,2012.0,Small,3055.0,546.0,573,Y,098537,1.24694068557266,103.839986098204,SOUTHERN ISLANDS
"410 NORTH BRIDGE ROAD, SINGAPORE 188726",Office,No,,,Small,3038.0,185.0,40,Y,188726,1.29672135210088,103.854590228958,DOWNTOWN CORE
"18 VERDUN ROAD, SINGAPORE 207280",Office,No,,,Small,1082.0,240.0,226,Y,207280,1.31008576064582,103.856451042108,KALLANG
"20 KRAMAT LANE, SINGAPORE 228773",Office,No,,,Small,5099.0,136.0,108,Y,228773,1.30106357567537,103.842461997492,ORCHARD
"49 BEACH ROAD, SINGAPORE 189685",Office,No,,,Small,2295.0,323.0,318,Y,189685,1.29658053349868,103.856026708006,DOWNTOWN CORE
"11 BEACH ROAD, SINGAPORE 189675",Office,No,,,Small,3880.0,157.0,188,Y,189675,1.29539967795236,103.855216515356,DOWNTOWN CORE
"120 ROBINSON ROAD, SINGAPORE 068913",Office,No,,,Small,7428.0,226.0,237,Y,068913,1.27907635162327,103.848684034738,DOWNTOWN CORE
"22 MARTIN ROAD, SINGAPORE 239058",Office,No,,,Small,3465.0,317.0,296,Y,239058,1.29188466066369,103.838507741772,RIVER VALLEY
"67 BEACH ROAD, SINGAPORE 189688",Office,No,,,Small,2118.0,238.0,240,Y,189688,1.29695891480937,103.856304332687,DOWNTOWN CORE
"182 CLEMENCEAU AVENUE, SINGAPORE 239923",Office,No,,,Small,4880.0,201.0,193,Y,239923,1.29775077017794,103.844097151873,MUSEUM
"108 MIDDLE ROAD, SINGAPORE 188967",Office,No,,,Small,3883.0,30.0,92,Y,188967,1.29888493362707,103.853977870683,ROCHOR
"407 UPPER CHANGI ROAD NORTH, SINGAPORE 507658",Office,No,,,Small,4847.0,182.0,197,Y,507658,1.36899516161481,103.981426339882,CHANGI
